0.37203,0.057784,0.29428,0.55243,0.53073,0.37476,0.68637,0.30822,0.5434
0.66064,0.12671,0.61661,0.97526,0.64386,0.70662,0.051514,0.83593,0.22732
0.36633,0.46949,0.59945,0.92062,0.47102,0.094256,0.76251,0.25943,0.28462
0.43938,0.46974,0.37984,0.37432,0.058395,0.49409,0.95696,0.77856,0.44787
0.34672,0.028458,0.23091,0.49273,0.38135,0.35835,0.79033,0.79575,0.027874
0.54269,0.20571,0.99141,0.83849,0.8681,0.096498,0.56976,0.59459,0.77664
0.86545,0.94308,0.89953,0.26027,0.76958,0.093972,0.43335,0.5676,0.52288
0.23796,0.61167,0.37688,0.0071302,0.26234,0.047633,0.18787,0.21253,0.77911
0.82677,0.87558,0.67881,0.20455,0.38237,0.0012499,0.018942,0.39798,0.43554
0.53214,0.53428,0.62023,0.14588,0.63939,0.60668,0.76333,0.36946,0.97857
